"연번","업소명","지번"
"131"," 신촌설렁탕"," 서울특별시 강남구 역삼동 707번지 34호 한신인터벨리 지하145호,146호"
"132"," 오밍스"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리-110"
"133"," 커피캣츠웰"," 서울특별시 강남구 역삼동 707번지 24호 한신인터밸리24 제2층-320"
"134"," 맛밥"," 서울특별시 강남구 역삼동 707번지 25호"
"135"," 사보루"," 서울특별시 강남구 역삼동 707번지 34호"
"136"," 황태사랑"," 서울특별시 강남구 역삼동 707번지 24호 한신인터밸리24빌딩 지하1층-122"
"137"," 장판남 실가리국"," 서울특별시 강남구 역삼동 707번지 34호"
"138"," 포크생돈까스앤드규동"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하2층"
"139"," 짜장마트"," 서울특별시 강남구 역삼동 707번지 24호"
"140"," 장수순대국"," 서울특별시 강남구 역삼동 707번지 24호"
"141"," 카미"," 서울특별시 강남구 역삼동 707번지 24호 한신인터밸리24 지하2층-131"
"142"," 더진국"," 서울특별시 강남구 역삼동 707번지 24호"
"143"," 한상가득"," 서울특별시 강남구 역삼동 707번지 34호"
"144"," 송호수김치찌개"," 서울특별시 강남구 역삼동 707번지 34호"
"145"," 백곰집"," 서울특별시 강남구 역삼동 707번지 34호"
"146"," 나래비"," 서울특별시 강남구 역삼동 707번지 34호 한신인터벨리지하2층-B117"
"147"," 엘모아"," 서울특별시 강남구 역삼동 707번지 24호"
"148"," 돈까스리"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하-124"
"149"," 서울집"," 서울특별시 강남구 역삼동 702번지 23호 지하24호"
"150"," 소밀"," 서울특별시 강남구 역삼동 702번지 23호 휘닉스상가 지하1층 2-1, 2-2호"
"151"," 고향집"," 서울특별시 강남구 역삼동 702번지 23호"
"152"," 테헤란식당"," 서울특별시 강남구 역삼동 707번지 27호"
"153"," 빅토리아"," 서울특별시 강남구 역삼동 705번지 1호 빅토리아빌딩 지하1층 2호"
"154"," 전주식당"," 서울특별시 강남구 역삼동 705번지 1호 빅토리아빌딩지하1층"
"155"," 친구"," 서울특별시 강남구 역삼동 705번지 1호 지하1층 22호"
"156"," 만나분식"," 서울특별시 강남구 역삼동 705번지 1호 지하1층8호"
"157"," 와 땡겨"," 서울특별시 강남구 역삼동 708번지 1호 지하1층104-106호"
"158"," 동우식당"," 서울특별시 강남구 역삼동 708번지 1호"
"159"," 준 일식"," 서울특별시 강남구 역삼동 705번지 9호 지하1층"
"160"," 바비다"," 서울특별시 강남구 역삼동 705번지 9호"
"161"," 명동할머니국수 선릉역접"," 서울특별시 강남구 역삼동 705번지 9호"
"162"," 맛보래"," 서울특별시 강남구 역삼동 705번지 9호 삼흥오피스텔 지하1층"
"163"," 다사랑"," 서울특별시 강남구 역삼동 705번지 9호 지하1층"
"164"," 다선매점"," 서울특별시 강남구 역삼동 708번지 6호 엘지강남빌딩 지하1층"
"165"," 주문진 골뱅이"," 서울특별시 강남구 역삼동 708번지 6호"
"166"," 허리우드"," 서울특별시 강남구 역삼동 705번지 30호"
"167"," 우남정"," 서울특별시 강남구 대치동 889번지 5호 지하1층 118호"
"168"," 라피자 노스트라"," 서울특별시 강남구 대치동 889번지 5호 A 샹제리제센터-101"
"169"," 화인스넥"," 서울특별시 강남구 대치동 889번지 5호 샹제리제빌딩 A동 지하1층-119"
"170"," 한솔"," 서울특별시 강남구 대치동 889번지 5호"
"171"," 동보성(강남점)"," 서울특별시 강남구 대치동 889번지 5호"
"172"," (주)더휴컨벤션"," 서울특별시 강남구 삼성동 141번지 26호 이케이타워"
"173"," (주)구즈구내식당"," 서울특별시 강남구 삼성동 141번지 28호 동신빌딩"
"174"," 강가"," 서울특별시 강남구 대치동 889번지 13호 지하1층"
"175"," 바리스타선릉(주)"," 서울특별시 강남구 삼성동 142번지 35호 1층"
"176"," 청자골"," 서울특별시 강남구 대치동 890번지 12호 지하1층"
"177"," 버거킹 삼릉공원점"," 서울특별시 강남구 삼성동 142번지 43호"
"178"," 좋은사람들"," 서울특별시 강남구 대치동 890번지 16호 지하2층"
"179"," 쿠캔비어"," 서울특별시 강남구 대치동 890번지 16호 하이리빙 지하2층"
"180"," 상차려주는집"," 서울특별시 강남구 대치동 890번지 16호 하이리빙빌딩지하2층"
"181"," 경천애인2237"," 서울특별시 강남구 삼성동 142번지 46호 암천빌딩 지상3층"
"182"," 명동칼국수"," 서울특별시 강남구 삼성동 143번지 37호 ,38"
"183"," 수라상"," 서울특별시 강남구 삼성동 143번지 37호 외1필지 현대타워 지하2층 201호"
"184"," 참나무숲"," 서울특별시 강남구 삼성동 143번지 37호 현대타워 지하1층 103호"
